Name,Phone,Address,Website,Email
1969 Restaurant,+92 323 9691969,Not available,1969restaurant.com,admin@1969restaurant.com
Khoka Khola,+92 51 8444929,Not available,facebook.com,Email not found
The Monal Restaurant,+92 51 2898044,Not available,themonal.com,career@themonal.com
Tandoori Restaurant,+92 51 2105566,Not available,tandoorirestaurants.pk,catering@tandoori.pk
Savour Foods,+92 51 2348097,Not available,savourfoods.com.pk,
Bar B.Q. Tonight,+92 51 8317132,Not available,islamabad.barbqtonight.com,Email not found
Salt n'Pepper,+92 51 2604911,Not available,saltnpepper.com.pk,Email not found
Khyber Dodai,0303 0066660,Not available,facebook.com,Email not found
Khyber Dodai,+92 303 0066660,Not available,facebook.com,Email not found
Makhan Malai Restaurant,+92 51 8355006,Not available,Not available,Not available
Darbar Restaurant,+92 51 2252235,Not available,Not available,Not available
Tuscany Courtyard Islamabad,+92 51 8445544,Not available,facebook.com,Email not found
Nazarr - The Taste of Istanbul,0309 9635555,Not available,nazarr.pk,Email not found
Nazarr - The Taste of Istanbul,+92 309 9635555,Not available,nazarr.pk,Email not found
Golden Dragon,+92 51 2610916,Not available,Not available,Not available
Lavish Dine Restaurant,+92 51 2252550,Not available,Not available,Not available
"Saddle Room, Islamabad Club",+92 51 8435650,Not available,islamabadclub.org.pk,Email not found
The Smokey Cauldron,+92 51 8430133,Not available,Not available,Not available
MêZ Islamabad Turkish restaurant,+92 342 0002982,Not available,Not available,Not available
Des Pardes Restaurant,+92 51 2320009,Not available,facebook.com,Email not found
Hot n Chilli - Blue Area,+92 51 2348558,Not available,Not available,Not available
Butt Karahi Tikka F-8,+92 51 2280630,Not available,Not available,Not available
Chop Chop Wok,+92 333 4446897,Not available,chopchopwok.pk,feedback@chopchopwok.pk
Lari Adda Restaurant,+92 51 4800812,Not available,Not available,Not available
Atrio Café & Grill,+92 51 8319999,Not available,facebook.com,Email not found
Pappasallis,+92 51 111 172 772,Not available,pappasallis.com.pk,Email not found
Bistro Noir,+92 300 1888768,Not available,Not available,Not available
Ginyaki,+92 51 8484888,Not available,ginyaki.com,Email not found
Shandez Restaurant,+92 300 0575454,Not available,facebook.com,Email not found
Mandarin Kitchen,+92 340 0000116,Not available,mandarin.pk,Email not found
Kim Mun Chinese Restaurant,+92 51 2651489,Not available,Not available,Not available
Butt Karahi By Usman Tahir,+92 306 0666605,Not available,facebook.com,Email not found
Captain Cook's,+92 51 2650208,Not available,Not available,Not available
Wakha Restaurant,+92 332 4633377,Not available,Not available,Not available
TKR,+92 304 1110857,Not available,tahirkhanrestaurants.com,starbelly@mail.com
Habibi Restaurant F-8,+92 51 2854747,Not available,Not available,Not available
Capital View Restaurant,+92 51 2000064,Not available,Not available,Not available
New Kabul Restaurant,+92 51 2650953,Not available,kabulrestaurant.pk,Email not found
Lunar Restaurant - F11,+92 51 6123223,Not available,foodoplanet.com,Email not found
Hashmi Restaurant,+92 51 4441919,Not available,Not available,Not available
Noorani Restaurant and Barbecue,+92 51 2287409,Not available,Not available,Not available
Sufi Restaurant,+92 51 2325344,Not available,Not available,Not available
Peshawar Shinwari Restaurant,+92 51 2113380,Not available,Not available,Not available
Mirchi 360,+92 51 2101360,Not available,facebook.com,Email not found
Harry's,+92 331 9146686,Not available,facebook.com,Email not found
Syrian Shawarma شاورما سوري,+92 301 8888630,Not available,Not available,Not available
Towcheen Restaurant,+92 51 2284869,Not available,Not available,Not available
Pak Afghan restaurant,+92 334 5303716,Not available,Not available,Not available
Usmania Restaurant,+92 51 2873245,Not available,Not available,Not available
Purana Shinwari Restaurant,+92 51 2250444,Not available,Not available,Not available
Royal Tabaq Restaurant,+92 317 7866363,Not available,restaurantmenu.com.pk,Email not found
Daily Deli Co.,+92 42 111 132 459,Not available,Not available,Not available
Kitchen Deli,+92 336 4088885,Not available,kitchendelipk.com,Email not found
Kabul Islamabad Restaurant,+92 311 0377943,Not available,Not available,Not available
El Momento Islamabad,+92 311 1100317,Not available,elmomento.pk,info@elmomento.pk
